Brand,SKU,ShipmentID,ShipmentDate,FBAReceivedDate,Quantity,CostPerShipment,TotalCost
Luxottica,0PR09QS_1AB0A7_4926-FBA,FBA2B66G1Q,19-12-2014,19-12-2014,5,164.35,821.75
Ray Ban,0PR27NS_MAX0A5_5522,FBA2CWW220,17-01-2015,17-01-2015,1,128.25,128.25
